keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'constant rain',0.009436821690652162,0.9330200311878161,0.12171200524891337,0.8447538211585797,71.0
'continuous rainfall',0.0950219052587279,0.9422002868688762,0.17629698032201052,0.9518060487580031,72.0
'drainage rain',0.11480936373969718,0.9237764414879029,-0.007688173216248473,0.9408856844447884,92.0
'flood-borne diseases',0.11222099699394178,0.861014673286902,0.08229595431120354,1.0306047951192123,70.0
'fungal infections',-0.14094952881235734,1.0826946677010536,0.07483343853066377,0.982781737222576,86.0
'groundwater flood',0.011610482983434162,0.9258895731973035,0.03099658035308953,0.9369312792279195,71.0
'groundwater rising',0.21267989311806415,0.9799921770607914,0.051229236381504305,0.8461210298918205,71.0
'high soil moisture',0.13018100579842376,0.8368256353476512,0.09918624990700559,0.8788163402122668,73.0
'mold harvest',-0.08793159626520958,1.0,-0.5449669071533036,1.0,1.0
'mould rain',-0.07031600621636336,0.77737231089571,-0.02077690342980348,1.0203668691144168,76.0
'persistent rain climate change',0.05760196623800595,0.8150569076557371,-0.024780812594987905,0.9041274678265823,74.0
'persistent rain',0.03885994927424208,0.9823303333970833,0.07010657497105968,1.0784966887493472,71.0
'rain disease prevention',-0.16196780482200504,0.9603053610712465,-0.09412728375137026,0.8236034899468839,105.0
'rain fatique',-0.017030210355653885,0.7491195692753986,0.05710273142346034,0.8565511669923782,75.0
'rainwater harvesting',0.11673160441055212,0.7425465719291288,-0.11532950849548818,0.9623062990477005,74.0
'waterlogged',-0.1685701310144146,0.9241161223888278,0.010616136168084345,0.8235496438192174,100.0
'wet harvest',0.0551719301795706,0.8048484328452873,0.22043659184176737,0.7084219190183736,74.0
'wet soil',-0.2517275789827348,0.8532945944531317,0.5405749105834179,0.6844169614016825,20.0
veryUnusualAndNeverUsedKeyword,0.06882230796851649,0.7422981824802258,-0.031088164110448332,0.6297133530717214,9.0
