domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
timesofindia.indiatimes.com,-0.04779276895943563,0.1580900374444832,0.30530070546737215,0.21967478370007573,15.0
journals.plos.org,0.017670068027210883,0.09405235380410133,0.37762471655328794,0.14292110272446978,7.0
www.thehindubusinessline.com,-0.06659451659451661,0.21161780342367456,0.36839526214526214,0.20813610424434945,6.0
theconversation.com,0.0009639550264550304,0.12442423938318121,0.3496329365079365,0.11719559653310276,6.0
economictimes.indiatimes.com,0.13098765432098766,0.1020186983402352,0.3776543209876544,0.22163002504824814,6.0
www.forbes.com,0.2592294372294372,0.18483920222137906,0.5494632034632035,0.1313425330014771,5.0
www.thestar.com.my,0.06703463203463203,0.18438979023112387,0.35034632034632035,0.1553172912287289,5.0
phys.org,0.17083333333333334,0.22735394171822668,0.31666666666666665,0.22484562605386735,4.0
www.independent.ie,-0.028909465020576123,0.08031830474254265,0.22176660787771899,0.017971704140849375,3.0
financialpost.com,-0.02063492063492064,0.09924126369740055,0.44206349206349205,0.19495236544381572,3.0
www.gov.uk,0.18409090909090908,0.057090257668547584,0.396969696969697,0.10013764631429276,3.0
www.globenewswire.com,0.12222222222222222,0.11097213530798987,0.33055555555555555,0.31072644870677796,3.0
www.bbc.com,-0.10740740740740741,0.12426740051709344,0.5462962962962963,0.22266160266290078,3.0
www.livescience.com,-0.06412037037037038,0.0022915497538452964,0.5194444444444445,0.027498597046143575,2.0
www.abc.net.au,0.0625,0.01767766952966369,0.4256944444444444,0.12276159395599781,2.0
thequietus.com,-0.011742424242424242,0.09535227806909505,0.3770833333333333,0.05008673033404711,2.0
www.aljazeera.com,0.1065909090909091,0.0896739963413849,0.624469696969697,0.03139125558903918,2.0
survivalblog.com,0.17166666666666663,0.12492219800962338,0.20833333333333331,0.05892556509887898,2.0
www.insurancejournal.com,0.05166666666666667,0.16734860488081627,0.23999999999999996,0.24513035081133644,2.0
www.irishtimes.com,0.02007575757575758,0.13660017363831034,0.31742424242424244,0.23677363430640458,2.0
